"","geo_type","region","transportation_type","alternative_name","sub-region","country","date","value"
"443","city","Delhi","walking","दिल्ली",NA,"India",2020-05-10,25.21
"444","city","Delhi","walking","दिल्ली",NA,"India",2020-05-11,NA
"445","city","Delhi","walking","दिल्ली",NA,"India",2020-05-12,NA
"446","city","Delhi","walking","दिल्ली",NA,"India",2020-05-13,26.2
"447","city","Delhi","walking","दिल्ली",NA,"India",2020-05-14,24.68
"448","city","Delhi","walking","दिल्ली",NA,"India",2020-05-15,25.55
"449","city","Delhi","walking","दिल्ली",NA,"India",2020-05-16,26.22
"450","city","Delhi","walking","दिल्ली",NA,"India",2020-05-17,27.28
"451","city","Delhi","walking","दिल्ली",NA,"India",2020-05-18,29.84
"452","city","Delhi","walking","दिल्ली",NA,"India",2020-05-19,29.93
"453","city","Delhi","walking","दिल्ली",NA,"India",2020-05-20,34.31
"454","city","Delhi","walking","दिल्ली",NA,"India",2020-05-21,32.53
"455","city","Delhi","walking","दिल्ली",NA,"India",2020-05-22,29.95
"456","city","Delhi","walking","दिल्ली",NA,"India",2020-05-23,27.95
"457","city","Delhi","walking","दिल्ली",NA,"India",2020-05-24,30
"458","city","Delhi","walking","दिल्ली",NA,"India",2020-05-25,30.99
"459","city","Delhi","walking","दिल्ली",NA,"India",2020-05-26,30.07
"460","city","Delhi","walking","दिल्ली",NA,"India",2020-05-27,32.44
"461","city","Delhi","walking","दिल्ली",NA,"India",2020-05-28,30.62
"462","city","Delhi","walking","दिल्ली",NA,"India",2020-05-29,31.57
"463","city","Delhi","walking","दिल्ली",NA,"India",2020-05-30,31.82
"464","city","Delhi","walking","दिल्ली",NA,"India",2020-05-31,33.73
"465","city","Delhi","walking","दिल्ली",NA,"India",2020-06-01,37.35
"466","city","Delhi","walking","दिल्ली",NA,"India",2020-06-02,34.65
"467","city","Delhi","walking","दिल्ली",NA,"India",2020-06-03,35.41
"468","city","Delhi","walking","दिल्ली",NA,"India",2020-06-04,33.29
"469","city","Delhi","walking","दिल्ली",NA,"India",2020-06-05,33.73
"470","city","Delhi","walking","दिल्ली",NA,"India",2020-06-06,34.86
"471","city","Delhi","walking","दिल्ली",NA,"India",2020-06-07,34.68
"472","city","Delhi","walking","दिल्ली",NA,"India",2020-06-08,38.39
"473","city","Delhi","walking","दिल्ली",NA,"India",2020-06-09,38.39
"474","city","Delhi","walking","दिल्ली",NA,"India",2020-06-10,37.74
"475","city","Delhi","walking","दिल्ली",NA,"India",2020-06-11,36.91
"476","city","Delhi","walking","दिल्ली",NA,"India",2020-06-12,37.03
"477","city","Delhi","walking","दिल्ली",NA,"India",2020-06-13,34.95
"478","city","Delhi","walking","दिल्ली",NA,"India",2020-06-14,36.13
"479","city","Delhi","walking","दिल्ली",NA,"India",2020-06-15,36.87
"480","city","Delhi","walking","दिल्ली",NA,"India",2020-06-16,36.11
"481","city","Delhi","walking","दिल्ली",NA,"India",2020-06-17,36.34
"482","city","Delhi","walking","दिल्ली",NA,"India",2020-06-18,34.38
"483","city","Delhi","walking","दिल्ली",NA,"India",2020-06-19,36.61
"484","city","Delhi","walking","दिल्ली",NA,"India",2020-06-20,32.3
"485","city","Delhi","walking","दिल्ली",NA,"India",2020-06-21,35.92
"486","city","Delhi","walking","दिल्ली",NA,"India",2020-06-22,43.27
"487","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-13,100
"488","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-14,89.96
"489","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-15,87.35
"490","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-16,98.46
"491","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-17,114.9
"492","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-18,127.38
"493","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-19,115.08
"494","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-20,123.93
"495","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-21,116.57
"496","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-22,112.41
"497","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-23,110.87
"498","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-24,120.13
"499","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-25,154.16
"500","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-26,128.44
"501","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-27,125.89
"502","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-28,123.4
"503","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-29,138.3
"504","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-30,127.91
"505","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-01-31,136.4
"506","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-02-01,149.35
"507","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-02-02,144.66
"508","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-02-03,128.74
"509","city","Hyderabad","walking","हैदराबाद|హైదరాబాద్",NA,"India",2020-02-04,128.27
